
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/uma.cm-3      p/dyn.cm-2   R/Rc

  1352       0.000000         0.     3.78948E+05     0.00000E+00     0.00000E+00
  1351       0.041866      4094.     3.78948E+05     0.00000E+00     1.54072E-01
  1350       0.254038     24843.     1.25128E+00     0.00000E+00     9.34881E-01
  1349       0.254038     16857.     5.00168E+00     1.76563E-06     9.34881E-01
  1348       0.254073     16857.     5.00193E+00     1.76598E-06     9.35010E-01
  1347       0.254087     16854.     5.00292E+00     1.76738E-06     9.35064E-01
  1346       0.254102     16852.     5.00391E+00     1.76877E-06     9.35117E-01
  1345       0.254117     16849.     5.00490E+00     1.77016E-06     9.35171E-01
  1344       0.254131     16847.     5.00588E+00     1.77155E-06     9.35224E-01
  1343       0.254146     16845.     5.00685E+00     1.77294E-06     9.35278E-01
  1342       0.254160     16842.     5.00782E+00     1.77433E-06     9.35331E-01
  1341       0.254175     16840.     5.00878E+00     1.77572E-06     9.35384E-01
  1340       0.254189     16837.     5.00974E+00     1.77711E-06     9.35438E-01
  1339       0.254204     16835.     5.01069E+00     1.77849E-06     9.35491E-01
  1338       0.254218     16832.     5.01163E+00     1.77987E-06     9.35545E-01
  1337       0.254233     16830.     5.01257E+00     1.78125E-06     9.35598E-01
  1336       0.254247     16828.     5.01351E+00     1.78263E-06     9.35652E-01
  1335       0.254262     16825.     5.01443E+00     1.78401E-06     9.35705E-01
  1334       0.254276     16823.     5.01536E+00     1.78539E-06     9.35759E-01
  1333       0.254291     16820.     5.01627E+00     1.78677E-06     9.35812E-01
  1332       0.254305     16818.     5.01718E+00     1.78814E-06     9.35866E-01
  1331       0.254320     16816.     5.01809E+00     1.78952E-06     9.35919E-01
  1330       0.254334     16813.     5.01899E+00     1.79089E-06     9.35973E-01
  1329       0.254349     16811.     5.01988E+00     1.79226E-06     9.36026E-01
  1328       0.254363     16808.     5.02077E+00     1.79363E-06     9.36080E-01
  1327       0.254378     16806.     5.02166E+00     1.79500E-06     9.36133E-01
  1326       0.254393     16804.     5.02253E+00     1.79637E-06     9.36187E-01
  1325       0.254407     16801.     5.02341E+00     1.79773E-06     9.36240E-01
  1324       0.254422     16799.     5.02427E+00     1.79910E-06     9.36294E-01
  1323       0.254436     16797.     5.02513E+00     1.80046E-06     9.36347E-01
  1322       0.254451     16794.     5.02599E+00     1.80182E-06     9.36401E-01
  1321       0.254465     16792.     5.02684E+00     1.80318E-06     9.36454E-01
  1320       0.254480     16790.     5.02768E+00     1.80454E-06     9.36508E-01
  1319       0.254494     16787.     5.02852E+00     1.80590E-06     9.36561E-01
  1318       0.254509     16785.     5.02935E+00     1.80726E-06     9.36615E-01
  1317       0.254523     16783.     5.03018E+00     1.80861E-06     9.36668E-01
  1316       0.254538     16780.     5.03100E+00     1.80997E-06     9.36722E-01
  1315       0.254553     16778.     5.03182E+00     1.81132E-06     9.36775E-01
  1314       0.254567     16776.     5.03263E+00     1.81267E-06     9.36829E-01
  1313       0.254582     16773.     5.03344E+00     1.81403E-06     9.36882E-01
  1312       0.254596     16771.     5.03424E+00     1.81537E-06     9.36936E-01
  1311       0.254611     16769.     5.03503E+00     1.81672E-06     9.36989E-01
  1310       0.254625     16766.     5.03582E+00     1.81807E-06     9.37043E-01
  1309       0.254640     16764.     5.03661E+00     1.81942E-06     9.37096E-01
  1308       0.254654     16762.     5.03739E+00     1.82076E-06     9.37150E-01
  1307       0.254669     16759.     5.03816E+00     1.82211E-06     9.37204E-01
  1306       0.254683     16757.     5.03893E+00     1.82345E-06     9.37257E-01
  1305       0.254698     16755.     5.03969E+00     1.82479E-06     9.37311E-01
  1304       0.254713     16752.     5.04045E+00     1.82613E-06     9.37364E-01
  1303       0.254727     16750.     5.04120E+00     1.82747E-06     9.37418E-01
  1302       0.254742     16748.     5.04195E+00     1.82881E-06     9.37471E-01
  1301       0.254756     16746.     5.04269E+00     1.83014E-06     9.37525E-01
  1300       0.254771     16743.     5.04342E+00     1.83148E-06     9.37578E-01
  1299       0.254785     16741.     5.04415E+00     1.83281E-06     9.37632E-01
  1298       0.254800     16739.     5.04488E+00     1.83414E-06     9.37686E-01
  1297       0.254814     16736.     5.04560E+00     1.83548E-06     9.37739E-01
  1296       0.254829     16734.     5.04631E+00     1.83681E-06     9.37793E-01
  1295       0.254844     16732.     5.04702E+00     1.83814E-06     9.37846E-01
  1294       0.254858     16730.     5.04772E+00     1.83946E-06     9.37900E-01
  1293       0.254873     16727.     5.04842E+00     1.84079E-06     9.37954E-01
  1292       0.254887     16725.     5.04912E+00     1.84212E-06     9.38007E-01
  1291       0.254902     16723.     5.04980E+00     1.84344E-06     9.38061E-01
  1290       0.254916     16721.     5.05049E+00     1.84477E-06     9.38114E-01
  1289       0.254931     16718.     5.05116E+00     1.84609E-06     9.38168E-01
  1288       0.254946     16716.     5.05183E+00     1.84741E-06     9.38222E-01
  1287       0.254960     16714.     5.05250E+00     1.84873E-06     9.38275E-01
  1286       0.254975     16712.     5.05316E+00     1.85005E-06     9.38329E-01
  1285       0.254989     16709.     5.05382E+00     1.85137E-06     9.38382E-01
  1284       0.255004     16707.     5.05447E+00     1.85268E-06     9.38436E-01
  1283       0.255018     16705.     5.05511E+00     1.85400E-06     9.38490E-01
  1282       0.255033     16703.     5.05575E+00     1.85531E-06     9.38543E-01
