
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/uma.cm-3      p/dyn.cm-2   R/Rc

  1765       0.000000         0.     3.78949E+05     0.00000E+00     0.00000E+00
  1764       0.041866      4094.     3.78949E+05     0.00000E+00     1.55541E-01
  1763       0.251667     24608.     1.33617E+00     0.00000E+00     9.34985E-01
  1762       0.251667     16698.     5.34470E+00     1.85089E-06     9.34985E-01
  1761       0.251673     16697.     5.34518E+00     1.85155E-06     9.35009E-01
  1760       0.251687     16695.     5.34624E+00     1.85301E-06     9.35062E-01
  1759       0.251702     16693.     5.34730E+00     1.85447E-06     9.35116E-01
  1758       0.251716     16690.     5.34835E+00     1.85593E-06     9.35169E-01
  1757       0.251731     16688.     5.34939E+00     1.85739E-06     9.35223E-01
  1756       0.251745     16685.     5.35043E+00     1.85884E-06     9.35276E-01
  1755       0.251759     16683.     5.35146E+00     1.86030E-06     9.35330E-01
  1754       0.251774     16680.     5.35249E+00     1.86175E-06     9.35383E-01
  1753       0.251788     16678.     5.35351E+00     1.86320E-06     9.35437E-01
  1752       0.251803     16676.     5.35452E+00     1.86465E-06     9.35490E-01
  1751       0.251817     16673.     5.35553E+00     1.86610E-06     9.35543E-01
  1750       0.251831     16671.     5.35653E+00     1.86755E-06     9.35597E-01
  1749       0.251846     16668.     5.35753E+00     1.86900E-06     9.35650E-01
  1748       0.251860     16666.     5.35852E+00     1.87044E-06     9.35704E-01
  1747       0.251874     16664.     5.35950E+00     1.87188E-06     9.35757E-01
  1746       0.251889     16661.     5.36048E+00     1.87333E-06     9.35811E-01
  1745       0.251903     16659.     5.36145E+00     1.87477E-06     9.35864E-01
  1744       0.251918     16657.     5.36242E+00     1.87621E-06     9.35918E-01
  1743       0.251932     16654.     5.36338E+00     1.87764E-06     9.35971E-01
  1742       0.251946     16652.     5.36433E+00     1.87908E-06     9.36025E-01
  1741       0.251961     16650.     5.36528E+00     1.88052E-06     9.36078E-01
  1740       0.251975     16647.     5.36622E+00     1.88195E-06     9.36132E-01
  1739       0.251990     16645.     5.36716E+00     1.88338E-06     9.36185E-01
  1738       0.252004     16642.     5.36809E+00     1.88481E-06     9.36239E-01
  1737       0.252018     16640.     5.36901E+00     1.88624E-06     9.36292E-01
  1736       0.252033     16638.     5.36993E+00     1.88767E-06     9.36346E-01
  1735       0.252047     16635.     5.37084E+00     1.88910E-06     9.36399E-01
  1734       0.252062     16633.     5.37175E+00     1.89052E-06     9.36453E-01
  1733       0.252076     16631.     5.37265E+00     1.89195E-06     9.36506E-01
  1732       0.252090     16628.     5.37355E+00     1.89337E-06     9.36560E-01
  1731       0.252105     16626.     5.37444E+00     1.89479E-06     9.36613E-01
  1730       0.252119     16624.     5.37532E+00     1.89622E-06     9.36667E-01
  1729       0.252134     16622.     5.37620E+00     1.89763E-06     9.36720E-01
  1728       0.252148     16619.     5.37707E+00     1.89905E-06     9.36774E-01
  1727       0.252162     16617.     5.37793E+00     1.90047E-06     9.36827E-01
  1726       0.252177     16615.     5.37879E+00     1.90189E-06     9.36881E-01
  1725       0.252191     16612.     5.37965E+00     1.90330E-06     9.36934E-01
  1724       0.252206     16610.     5.38049E+00     1.90471E-06     9.36988E-01
  1723       0.252220     16608.     5.38134E+00     1.90612E-06     9.37042E-01
  1722       0.252235     16605.     5.38217E+00     1.90753E-06     9.37095E-01
  1721       0.252249     16603.     5.38300E+00     1.90894E-06     9.37149E-01
  1720       0.252263     16601.     5.38383E+00     1.91035E-06     9.37202E-01
  1719       0.252278     16599.     5.38465E+00     1.91176E-06     9.37256E-01
  1718       0.252292     16596.     5.38546E+00     1.91316E-06     9.37309E-01
  1717       0.252307     16594.     5.38627E+00     1.91457E-06     9.37363E-01
  1716       0.252321     16592.     5.38707E+00     1.91597E-06     9.37416E-01
  1715       0.252335     16589.     5.38786E+00     1.91737E-06     9.37470E-01
  1714       0.252350     16587.     5.38865E+00     1.91877E-06     9.37524E-01
  1713       0.252364     16585.     5.38944E+00     1.92017E-06     9.37577E-01
  1712       0.252379     16583.     5.39022E+00     1.92157E-06     9.37631E-01
  1711       0.252393     16580.     5.39099E+00     1.92297E-06     9.37684E-01
  1710       0.252408     16578.     5.39176E+00     1.92436E-06     9.37738E-01
  1709       0.252422     16576.     5.39252E+00     1.92575E-06     9.37791E-01
  1708       0.252436     16574.     5.39328E+00     1.92715E-06     9.37845E-01
  1707       0.252451     16572.     5.39403E+00     1.92854E-06     9.37899E-01
  1706       0.252465     16569.     5.39477E+00     1.92993E-06     9.37952E-01
  1705       0.252480     16567.     5.39551E+00     1.93132E-06     9.38006E-01
  1704       0.252494     16565.     5.39624E+00     1.93271E-06     9.38059E-01
  1703       0.252509     16563.     5.39697E+00     1.93409E-06     9.38113E-01
  1702       0.252523     16560.     5.39769E+00     1.93548E-06     9.38167E-01
  1701       0.252537     16558.     5.39841E+00     1.93686E-06     9.38220E-01
  1700       0.252552     16556.     5.39912E+00     1.93825E-06     9.38274E-01
  1699       0.252566     16554.     5.39983E+00     1.93963E-06     9.38328E-01
  1698       0.252581     16552.     5.40053E+00     1.94101E-06     9.38381E-01
  1697       0.252595     16549.     5.40122E+00     1.94239E-06     9.38435E-01
  1696       0.252610     16547.     5.40191E+00     1.94377E-06     9.38488E-01
  1695       0.252624     16545.     5.40259E+00     1.94515E-06     9.38542E-01
  1694       0.252638     16543.     5.40327E+00     1.94652E-06     9.38596E-01
  1693       0.252653     16541.     5.40394E+00     1.94790E-06     9.38649E-01
  1692       0.252667     16538.     5.40460E+00     1.94927E-06     9.38703E-01
  1691       0.252682     16536.     5.40527E+00     1.95064E-06     9.38757E-01
  1690       0.252696     16534.     5.40592E+00     1.95201E-06     9.38810E-01
  1689       0.252711     16532.     5.40657E+00     1.95338E-06     9.38864E-01
  1688       0.252725     16530.     5.40721E+00     1.95475E-06     9.38917E-01
  1687       0.252740     16527.     5.40785E+00     1.95612E-06     9.38971E-01
  1686       0.252754     16525.     5.40848E+00     1.95749E-06     9.39025E-01
  1685       0.252768     16523.     5.40911E+00     1.95885E-06     9.39078E-01
  1684       0.252783     16521.     5.40973E+00     1.96022E-06     9.39132E-01
  1683       0.252797     16519.     5.41035E+00     1.96158E-06     9.39186E-01
  1682       0.252812     16517.     5.41096E+00     1.96294E-06     9.39239E-01
  1681       0.252826     16514.     5.41156E+00     1.96430E-06     9.39293E-01
  1680       0.252841     16512.     5.41216E+00     1.96566E-06     9.39347E-01
  1679       0.252855     16510.     5.41276E+00     1.96702E-06     9.39400E-01
  1678       0.252870     16508.     5.41335E+00     1.96838E-06     9.39454E-01
  1677       0.252884     16506.     5.41393E+00     1.96974E-06     9.39508E-01
  1676       0.252898     16504.     5.41451E+00     1.97109E-06     9.39562E-01
  1675       0.252913     16502.     5.41508E+00     1.97245E-06     9.39615E-01
  1674       0.252927     16499.     5.41564E+00     1.97380E-06     9.39669E-01
  1673       0.252942     16497.     5.41621E+00     1.97515E-06     9.39723E-01
  1672       0.252956     16495.     5.41676E+00     1.97650E-06     9.39776E-01
  1671       0.252971     16493.     5.41731E+00     1.97785E-06     9.39830E-01
  1670       0.252985     16491.     5.41786E+00     1.97920E-06     9.39884E-01
  1669       0.253000     16489.     5.41840E+00     1.98055E-06     9.39937E-01
  1668       0.253014     16487.     5.41893E+00     1.98189E-06     9.39991E-01
  1667       0.253029     16485.     5.41946E+00     1.98324E-06     9.40045E-01
  1666       0.253043     16483.     5.41998E+00     1.98458E-06     9.40099E-01
  1665       0.253057     16480.     5.42050E+00     1.98593E-06     9.40152E-01
  1664       0.253072     16478.     5.42101E+00     1.98727E-06     9.40206E-01
  1663       0.253086     16476.     5.42152E+00     1.98861E-06     9.40260E-01
  1662       0.253101     16474.     5.42202E+00     1.98995E-06     9.40313E-01
  1661       0.253115     16472.     5.42251E+00     1.99129E-06     9.40367E-01
  1660       0.253130     16470.     5.42300E+00     1.99263E-06     9.40421E-01
  1659       0.253144     16468.     5.42349E+00     1.99396E-06     9.40475E-01
  1658       0.253159     16466.     5.42397E+00     1.99530E-06     9.40528E-01
  1657       0.253173     16464.     5.42444E+00     1.99663E-06     9.40582E-01
  1656       0.253188     16462.     5.42491E+00     1.99797E-06     9.40636E-01
  1655       0.253202     16459.     5.42538E+00     1.99930E-06     9.40690E-01
  1654       0.253217     16457.     5.42583E+00     2.00063E-06     9.40743E-01
  1653       0.253231     16455.     5.42629E+00     2.00196E-06     9.40797E-01
  1652       0.253245     16453.     5.42673E+00     2.00329E-06     9.40851E-01
