
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/uma.cm-3      p/dyn.cm-2   R/Rc

  1314       0.000000         0.     3.78949E+05     0.00000E+00     0.00000E+00
  1313       0.041866      4094.     3.78949E+05     0.00000E+00     1.54960E-01
  1312       0.252612     24701.     1.30155E+00     0.00000E+00     9.34995E-01
  1311       0.252612     16761.     5.20720E+00     1.81662E-06     9.34995E-01
  1310       0.252617     16760.     5.20751E+00     1.81705E-06     9.35011E-01
  1309       0.252631     16758.     5.20855E+00     1.81849E-06     9.35064E-01
  1308       0.252645     16755.     5.20958E+00     1.81992E-06     9.35118E-01
  1307       0.252660     16753.     5.21060E+00     1.82135E-06     9.35171E-01
  1306       0.252674     16750.     5.21162E+00     1.82278E-06     9.35224E-01
  1305       0.252689     16748.     5.21263E+00     1.82421E-06     9.35278E-01
  1304       0.252703     16745.     5.21364E+00     1.82564E-06     9.35331E-01
  1303       0.252718     16743.     5.21464E+00     1.82707E-06     9.35385E-01
  1302       0.252732     16741.     5.21563E+00     1.82849E-06     9.35438E-01
  1301       0.252746     16738.     5.21662E+00     1.82992E-06     9.35492E-01
  1300       0.252761     16736.     5.21761E+00     1.83134E-06     9.35545E-01
  1299       0.252775     16733.     5.21858E+00     1.83276E-06     9.35599E-01
  1298       0.252790     16731.     5.21955E+00     1.83418E-06     9.35652E-01
  1297       0.252804     16729.     5.22052E+00     1.83560E-06     9.35706E-01
  1296       0.252819     16726.     5.22148E+00     1.83701E-06     9.35759E-01
  1295       0.252833     16724.     5.22243E+00     1.83843E-06     9.35812E-01
  1294       0.252848     16721.     5.22338E+00     1.83984E-06     9.35866E-01
  1293       0.252862     16719.     5.22432E+00     1.84126E-06     9.35919E-01
  1292       0.252876     16717.     5.22526E+00     1.84267E-06     9.35973E-01
  1291       0.252891     16714.     5.22619E+00     1.84408E-06     9.36026E-01
  1290       0.252905     16712.     5.22711E+00     1.84549E-06     9.36080E-01
  1289       0.252920     16710.     5.22803E+00     1.84690E-06     9.36133E-01
  1288       0.252934     16707.     5.22894E+00     1.84830E-06     9.36187E-01
  1287       0.252949     16705.     5.22985E+00     1.84971E-06     9.36240E-01
  1286       0.252963     16702.     5.23075E+00     1.85111E-06     9.36294E-01
  1285       0.252978     16700.     5.23164E+00     1.85251E-06     9.36347E-01
  1284       0.252992     16698.     5.23253E+00     1.85391E-06     9.36401E-01
  1283       0.253007     16695.     5.23342E+00     1.85531E-06     9.36454E-01
  1282       0.253021     16693.     5.23430E+00     1.85671E-06     9.36508E-01
  1281       0.253035     16691.     5.23517E+00     1.85811E-06     9.36561E-01
  1280       0.253050     16688.     5.23603E+00     1.85950E-06     9.36615E-01
  1279       0.253064     16686.     5.23690E+00     1.86090E-06     9.36668E-01
  1278       0.253079     16684.     5.23775E+00     1.86229E-06     9.36722E-01
