
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/amu.cm-3      p/dyn.cm-2   R/Rc

   886       0.000000         0.     1.57192E+04     0.00000E+00     0.00000E+00
   885       0.079122       774.     1.57192E+04     0.00000E+00     2.45073E-01
   884       0.301860      2952.     1.33617E+00     0.00000E+00     9.34985E-01
   883       0.301860      2003.     5.34469E+00     2.66282E-06     9.34985E-01
   882       0.301868      2003.     5.34522E+00     2.66387E-06     9.35012E-01
   881       0.301903      2002.     5.34734E+00     2.66808E-06     9.35119E-01
   880       0.301937      2002.     5.34944E+00     2.67227E-06     9.35225E-01
   879       0.301972      2001.     5.35151E+00     2.67646E-06     9.35332E-01
   878       0.302006      2000.     5.35356E+00     2.68064E-06     9.35439E-01
   877       0.302041      2000.     5.35558E+00     2.68481E-06     9.35546E-01
   876       0.302075      1999.     5.35757E+00     2.68897E-06     9.35653E-01
   875       0.302110      1999.     5.35955E+00     2.69313E-06     9.35760E-01
   874       0.302144      1998.     5.36150E+00     2.69728E-06     9.35867E-01
   873       0.302179      1998.     5.36342E+00     2.70142E-06     9.35974E-01
   872       0.302214      1997.     5.36532E+00     2.70555E-06     9.36081E-01
   871       0.302248      1996.     5.36720E+00     2.70967E-06     9.36188E-01
   870       0.302283      1996.     5.36905E+00     2.71379E-06     9.36295E-01
   869       0.302317      1995.     5.37088E+00     2.71789E-06     9.36402E-01
   868       0.302352      1995.     5.37269E+00     2.72200E-06     9.36509E-01
   867       0.302386      1994.     5.37447E+00     2.72609E-06     9.36616E-01
   866       0.302421      1994.     5.37623E+00     2.73017E-06     9.36723E-01
   865       0.302455      1993.     5.37797E+00     2.73425E-06     9.36830E-01
   864       0.302490      1993.     5.37968E+00     2.73832E-06     9.36937E-01
   863       0.302525      1992.     5.38137E+00     2.74239E-06     9.37044E-01
   862       0.302559      1991.     5.38304E+00     2.74644E-06     9.37151E-01
   861       0.302594      1991.     5.38468E+00     2.75049E-06     9.37258E-01
   860       0.302628      1990.     5.38630E+00     2.75453E-06     9.37366E-01
   859       0.302663      1990.     5.38790E+00     2.75857E-06     9.37473E-01
   858       0.302697      1989.     5.38947E+00     2.76260E-06     9.37580E-01
   857       0.302732      1989.     5.39102E+00     2.76662E-06     9.37687E-01
   856       0.302767      1988.     5.39255E+00     2.77063E-06     9.37794E-01
   855       0.302801      1988.     5.39406E+00     2.77463E-06     9.37901E-01
   854       0.302836      1987.     5.39554E+00     2.77863E-06     9.38008E-01
   853       0.302870      1987.     5.39700E+00     2.78262E-06     9.38116E-01
   852       0.302905      1986.     5.39844E+00     2.78661E-06     9.38223E-01
   851       0.302940      1986.     5.39986E+00     2.79059E-06     9.38330E-01
   850       0.302974      1985.     5.40125E+00     2.79456E-06     9.38437E-01
   849       0.303009      1984.     5.40262E+00     2.79852E-06     9.38545E-01
   848       0.303044      1984.     5.40397E+00     2.80248E-06     9.38652E-01
   847       0.303078      1983.     5.40529E+00     2.80643E-06     9.38759E-01
   846       0.303113      1983.     5.40660E+00     2.81038E-06     9.38866E-01
   845       0.303148      1982.     5.40788E+00     2.81431E-06     9.38974E-01
   844       0.303182      1982.     5.40914E+00     2.81824E-06     9.39081E-01
   843       0.303217      1981.     5.41037E+00     2.82217E-06     9.39188E-01
   842       0.303251      1981.     5.41159E+00     2.82609E-06     9.39296E-01
   841       0.303286      1980.     5.41278E+00     2.83000E-06     9.39403E-01
   840       0.303321      1980.     5.41395E+00     2.83390E-06     9.39511E-01
   839       0.303355      1979.     5.41510E+00     2.83780E-06     9.39618E-01
   838       0.303390      1979.     5.41623E+00     2.84169E-06     9.39725E-01
   837       0.303425      1978.     5.41733E+00     2.84558E-06     9.39833E-01
   836       0.303459      1978.     5.41842E+00     2.84945E-06     9.39940E-01
   835       0.303494      1977.     5.41948E+00     2.85333E-06     9.40048E-01
   834       0.303529      1977.     5.42052E+00     2.85719E-06     9.40155E-01
   833       0.303564      1976.     5.42154E+00     2.86105E-06     9.40262E-01
   832       0.303598      1976.     5.42253E+00     2.86491E-06     9.40370E-01
   831       0.303633      1975.     5.42351E+00     2.86875E-06     9.40477E-01
   830       0.303668      1975.     5.42446E+00     2.87259E-06     9.40585E-01
   829       0.303702      1974.     5.42539E+00     2.87643E-06     9.40692E-01
   828       0.303737      1974.     5.42630E+00     2.88026E-06     9.40800E-01
   827       0.303772      1973.     5.42719E+00     2.88408E-06     9.40907E-01
   826       0.303806      1973.     5.42806E+00     2.88790E-06     9.41015E-01
   825       0.303841      1972.     5.42891E+00     2.89171E-06     9.41122E-01
   824       0.303876      1972.     5.42973E+00     2.89551E-06     9.41230E-01
   823       0.303911      1971.     5.43053E+00     2.89931E-06     9.41338E-01
   822       0.303945      1971.     5.43132E+00     2.90310E-06     9.41445E-01
   821       0.303980      1970.     5.43208E+00     2.90689E-06     9.41553E-01
   820       0.304015      1970.     5.43282E+00     2.91067E-06     9.41660E-01
   819       0.304050      1969.     5.43353E+00     2.91444E-06     9.41768E-01
   818       0.304084      1969.     5.43423E+00     2.91821E-06     9.41876E-01
   817       0.304119      1968.     5.43491E+00     2.92197E-06     9.41983E-01
   816       0.304154      1968.     5.43556E+00     2.92573E-06     9.42091E-01
   815       0.304189      1967.     5.43620E+00     2.92948E-06     9.42199E-01
   814       0.304223      1967.     5.43681E+00     2.93323E-06     9.42306E-01
   813       0.304258      1966.     5.43740E+00     2.93697E-06     9.42414E-01
   812       0.304293      1966.     5.43797E+00     2.94070E-06     9.42522E-01
   811       0.304328      1965.     5.43852E+00     2.94443E-06     9.42629E-01
   810       0.304363      1965.     5.43905E+00     2.94815E-06     9.42737E-01
   809       0.304397      1964.     5.43956E+00     2.95187E-06     9.42845E-01
   808       0.304432      1964.     5.44004E+00     2.95558E-06     9.42953E-01
   807       0.304467      1964.     5.44051E+00     2.95928E-06     9.43060E-01
   806       0.304502      1963.     5.44095E+00     2.96298E-06     9.43168E-01
   805       0.304537      1963.     5.44138E+00     2.96668E-06     9.43276E-01
