1.00
1.40
0.10
  1328
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/uma.cm-3      p/dyn.cm-2   R/Rc

   1328       0.000000         0.     1.57198E+04     0.00000E+00     0.00000E+00
   1327       0.079122      7736.     1.57198E+04     0.00000E+00     1.85251E-01
   1326       0.399338     39047.     1.88425E-01     0.00000E+00     9.34985E-01
   1325       0.399338     26496.     7.53702E-01     6.57155E-07     9.34985E-01
   1324       0.399348     26494.     7.53770E-01     6.57389E-07     9.35009E-01
   1323       0.399371     26491.     7.53920E-01     6.57908E-07     9.35062E-01
   1322       0.399394     26487.     7.54069E-01     6.58426E-07     9.35116E-01
   1321       0.399417     26483.     7.54217E-01     6.58944E-07     9.35169E-01
   1320       0.399439     26479.     7.54364E-01     6.59462E-07     9.35223E-01
   1319       0.399462     26475.     7.54511E-01     6.59979E-07     9.35276E-01
   1318       0.399485     26471.     7.54656E-01     6.60495E-07     9.35330E-01
   1317       0.399508     26468.     7.54801E-01     6.61011E-07     9.35383E-01
   1316       0.399531     26464.     7.54945E-01     6.61527E-07     9.35437E-01
   1315       0.399554     26460.     7.55088E-01     6.62041E-07     9.35490E-01
   1314       0.399576     26456.     7.55230E-01     6.62556E-07     9.35543E-01
   1313       0.399599     26452.     7.55371E-01     6.63070E-07     9.35597E-01
   1312       0.399622     26449.     7.55512E-01     6.63583E-07     9.35650E-01
   1311       0.399645     26445.     7.55651E-01     6.64096E-07     9.35704E-01
   1310       0.399668     26441.     7.55790E-01     6.64609E-07     9.35757E-01
   1309       0.399691     26437.     7.55928E-01     6.65121E-07     9.35811E-01
   1308       0.399713     26433.     7.56065E-01     6.65632E-07     9.35864E-01
   1307       0.399736     26430.     7.56201E-01     6.66143E-07     9.35918E-01
   1306       0.399759     26426.     7.56337E-01     6.66654E-07     9.35971E-01
   1305       0.399782     26422.     7.56471E-01     6.67164E-07     9.36025E-01
   1304       0.399805     26418.     7.56605E-01     6.67674E-07     9.36078E-01
   1303       0.399828     26415.     7.56738E-01     6.68183E-07     9.36132E-01
   1302       0.399850     26411.     7.56870E-01     6.68691E-07     9.36185E-01
   1301       0.399873     26407.     7.57001E-01     6.69200E-07     9.36239E-01
   1300       0.399896     26404.     7.57131E-01     6.69707E-07     9.36292E-01
   1299       0.399919     26400.     7.57261E-01     6.70214E-07     9.36346E-01
   1298       0.399942     26396.     7.57389E-01     6.70721E-07     9.36399E-01
   1297       0.399965     26392.     7.57517E-01     6.71227E-07     9.36453E-01
   1296       0.399988     26389.     7.57644E-01     6.71733E-07     9.36506E-01
   1295       0.400010     26385.     7.57770E-01     6.72239E-07     9.36560E-01
   1294       0.400033     26381.     7.57896E-01     6.72743E-07     9.36613E-01
   1293       0.400056     26378.     7.58020E-01     6.73248E-07     9.36667E-01
   1292       0.400079     26374.     7.58144E-01     6.73752E-07     9.36720E-01
   1291       0.400102     26370.     7.58267E-01     6.74255E-07     9.36774E-01
   1290       0.400125     26367.     7.58389E-01     6.74758E-07     9.36827E-01
   1289       0.400148     26363.     7.58510E-01     6.75261E-07     9.36881E-01
   1288       0.400170     26359.     7.58630E-01     6.75763E-07     9.36934E-01
   1287       0.400193     26356.     7.58750E-01     6.76265E-07     9.36988E-01
   1286       0.400216     26352.     7.58869E-01     6.76766E-07     9.37042E-01
   1285       0.400239     26348.     7.58987E-01     6.77267E-07     9.37095E-01
   1284       0.400262     26345.     7.59104E-01     6.77767E-07     9.37149E-01
   1283       0.400285     26341.     7.59220E-01     6.78267E-07     9.37202E-01
   1282       0.400308     26338.     7.59336E-01     6.78766E-07     9.37256E-01
   1281       0.400331     26334.     7.59450E-01     6.79265E-07     9.37309E-01
   1280       0.400353     26330.     7.59564E-01     6.79764E-07     9.37363E-01
   1279       0.400376     26327.     7.59677E-01     6.80262E-07     9.37416E-01
   1278       0.400399     26323.     7.59789E-01     6.80759E-07     9.37470E-01
   1277       0.400422     26320.     7.59901E-01     6.81256E-07     9.37524E-01
   1276       0.400445     26316.     7.60011E-01     6.81753E-07     9.37577E-01
   1275       0.400468     26312.     7.60121E-01     6.82249E-07     9.37631E-01
   1274       0.400491     26309.     7.60230E-01     6.82745E-07     9.37684E-01
   1273       0.400514     26305.     7.60339E-01     6.83241E-07     9.37738E-01
   1272       0.400537     26302.     7.60446E-01     6.83736E-07     9.37791E-01
   1271       0.400559     26298.     7.60553E-01     6.84230E-07     9.37845E-01
   1270       0.400582     26295.     7.60658E-01     6.84724E-07     9.37899E-01
   1269       0.400605     26291.     7.60763E-01     6.85218E-07     9.37952E-01
   1268       0.400628     26288.     7.60868E-01     6.85711E-07     9.38006E-01
   1267       0.400651     26284.     7.60971E-01     6.86204E-07     9.38059E-01
   1266       0.400674     26280.     7.61074E-01     6.86697E-07     9.38113E-01
   1265       0.400697     26277.     7.61175E-01     6.87188E-07     9.38167E-01
   1264       0.400720     26273.     7.61277E-01     6.87680E-07     9.38220E-01
   1263       0.400743     26270.     7.61377E-01     6.88171E-07     9.38274E-01
   1262       0.400765     26266.     7.61476E-01     6.88662E-07     9.38327E-01
   1261       0.400788     26263.     7.61575E-01     6.89152E-07     9.38381E-01
   1260       0.400811     26259.     7.61673E-01     6.89642E-07     9.38435E-01
   1259       0.400834     26256.     7.61770E-01     6.90131E-07     9.38488E-01
   1258       0.400857     26252.     7.61866E-01     6.90620E-07     9.38542E-01
   1257       0.400880     26249.     7.61962E-01     6.91109E-07     9.38596E-01
   1256       0.400903     26245.     7.62056E-01     6.91597E-07     9.38649E-01
   1255       0.400926     26242.     7.62150E-01     6.92085E-07     9.38703E-01
   1254       0.400949     26239.     7.62243E-01     6.92572E-07     9.38757E-01
   1253       0.400972     26235.     7.62336E-01     6.93059E-07     9.38810E-01
   1252       0.400995     26232.     7.62427E-01     6.93545E-07     9.38864E-01
   1251       0.401017     26228.     7.62518E-01     6.94032E-07     9.38917E-01
   1250       0.401040     26225.     7.62608E-01     6.94517E-07     9.38971E-01
   1249       0.401063     26221.     7.62697E-01     6.95002E-07     9.39025E-01
   1248       0.401086     26218.     7.62786E-01     6.95487E-07     9.39078E-01
   1247       0.401109     26214.     7.62873E-01     6.95972E-07     9.39132E-01
   1246       0.401132     26211.     7.62960E-01     6.96456E-07     9.39186E-01
   1245       0.401155     26208.     7.63046E-01     6.96939E-07     9.39239E-01
   1244       0.401178     26204.     7.63131E-01     6.97423E-07     9.39293E-01
   1243       0.401201     26201.     7.63216E-01     6.97905E-07     9.39347E-01
   1242       0.401224     26197.     7.63300E-01     6.98388E-07     9.39400E-01
   1241       0.401247     26194.     7.63383E-01     6.98870E-07     9.39454E-01
   1240       0.401270     26191.     7.63465E-01     6.99352E-07     9.39508E-01
   1239       0.401293     26187.     7.63546E-01     6.99833E-07     9.39562E-01
   1238       0.401315     26184.     7.63627E-01     7.00314E-07     9.39615E-01
   1237       0.401338     26180.     7.63707E-01     7.00794E-07     9.39669E-01
   1236       0.401361     26177.     7.63786E-01     7.01274E-07     9.39723E-01
   1235       0.401384     26174.     7.63864E-01     7.01754E-07     9.39776E-01
   1234       0.401407     26170.     7.63942E-01     7.02233E-07     9.39830E-01
   1233       0.401430     26167.     7.64019E-01     7.02712E-07     9.39884E-01
   1232       0.401453     26163.     7.64095E-01     7.03190E-07     9.39937E-01
   1231       0.401476     26160.     7.64170E-01     7.03668E-07     9.39991E-01
   1230       0.401499     26157.     7.64245E-01     7.04146E-07     9.40045E-01
   1229       0.401522     26153.     7.64318E-01     7.04623E-07     9.40099E-01
   1228       0.401545     26150.     7.64391E-01     7.05100E-07     9.40152E-01
   1227       0.401568     26147.     7.64464E-01     7.05576E-07     9.40206E-01
   1226       0.401591     26143.     7.64535E-01     7.06053E-07     9.40260E-01
   1225       0.401614     26140.     7.64606E-01     7.06528E-07     9.40313E-01
   1224       0.401637     26137.     7.64676E-01     7.07004E-07     9.40367E-01
   1223       0.401660     26133.     7.64745E-01     7.07479E-07     9.40421E-01
   1222       0.401683     26130.     7.64813E-01     7.07953E-07     9.40475E-01
   1221       0.401705     26127.     7.64881E-01     7.08427E-07     9.40528E-01
   1220       0.401728     26123.     7.64948E-01     7.08901E-07     9.40582E-01
   1219       0.401751     26120.     7.65014E-01     7.09374E-07     9.40636E-01
   1218       0.401774     26117.     7.65079E-01     7.09847E-07     9.40690E-01
   1217       0.401797     26114.     7.65144E-01     7.10320E-07     9.40743E-01
   1216       0.401820     26110.     7.65208E-01     7.10792E-07     9.40797E-01
   1215       0.401843     26107.     7.65271E-01     7.11264E-07     9.40851E-01
   1214       0.401866     26104.     7.65333E-01     7.11736E-07     9.40905E-01
   1213       0.401889     26100.     7.65395E-01     7.12207E-07     9.40958E-01
   1212       0.401912     26097.     7.65455E-01     7.12678E-07     9.41012E-01
   1211       0.401935     26094.     7.65516E-01     7.13148E-07     9.41066E-01
   1210       0.401958     26091.     7.65575E-01     7.13618E-07     9.41120E-01
   1209       0.401981     26087.     7.65633E-01     7.14088E-07     9.41174E-01
   1208       0.402004     26084.     7.65691E-01     7.14557E-07     9.41227E-01
   1207       0.402027     26081.     7.65748E-01     7.15026E-07     9.41281E-01
   1206       0.402050     26078.     7.65805E-01     7.15494E-07     9.41335E-01
   1205       0.402073     26074.     7.65860E-01     7.15963E-07     9.41389E-01
   1204       0.402096     26071.     7.65915E-01     7.16430E-07     9.41443E-01
   1203       0.402119     26068.     7.65969E-01     7.16898E-07     9.41496E-01
   1202       0.402142     26065.     7.66022E-01     7.17365E-07     9.41550E-01
   1201       0.402165     26061.     7.66075E-01     7.17831E-07     9.41604E-01
   1200       0.402188     26058.     7.66127E-01     7.18298E-07     9.41658E-01
   1199       0.402211     26055.     7.66178E-01     7.18764E-07     9.41712E-01
   1198       0.402234     26052.     7.66228E-01     7.19229E-07     9.41765E-01
   1197       0.402257     26049.     7.66278E-01     7.19695E-07     9.41819E-01
   1196       0.402280     26045.     7.66326E-01     7.20159E-07     9.41873E-01
   1195       0.402303     26042.     7.66374E-01     7.20624E-07     9.41927E-01
   1194       0.402326     26039.     7.66422E-01     7.21088E-07     9.41981E-01
   1193       0.402349     26036.     7.66468E-01     7.21552E-07     9.42034E-01
   1192       0.402372     26033.     7.66514E-01     7.22015E-07     9.42088E-01
   1191       0.402395     26029.     7.66559E-01     7.22478E-07     9.42142E-01
   1190       0.402418     26026.     7.66604E-01     7.22941E-07     9.42196E-01
   1189       0.402441     26023.     7.66647E-01     7.23403E-07     9.42250E-01
   1188       0.402464     26020.     7.66690E-01     7.23865E-07     9.42304E-01
   1187       0.402487     26017.     7.66732E-01     7.24327E-07     9.42358E-01
   1186       0.402510     26014.     7.66774E-01     7.24788E-07     9.42411E-01
   1185       0.402533     26010.     7.66814E-01     7.25249E-07     9.42465E-01
   1184       0.402556     26007.     7.66854E-01     7.25710E-07     9.42519E-01
   1183       0.402579     26004.     7.66893E-01     7.26170E-07     9.42573E-01
   1182       0.402602     26001.     7.66932E-01     7.26630E-07     9.42627E-01
   1181       0.402625     25998.     7.66969E-01     7.27089E-07     9.42681E-01
   1180       0.402648     25995.     7.67006E-01     7.27548E-07     9.42735E-01
   1179       0.402671     25992.     7.67042E-01     7.28007E-07     9.42788E-01
   1178       0.402694     25988.     7.67078E-01     7.28466E-07     9.42842E-01
   1177       0.402717     25985.     7.67113E-01     7.28924E-07     9.42896E-01
   1176       0.402740     25982.     7.67147E-01     7.29381E-07     9.42950E-01
   1175       0.402763     25979.     7.67180E-01     7.29839E-07     9.43004E-01
   1174       0.402786     25976.     7.67212E-01     7.30296E-07     9.43058E-01
   1173       0.402809     25973.     7.67244E-01     7.30753E-07     9.43112E-01
   1172       0.402832     25970.     7.67275E-01     7.31209E-07     9.43166E-01
   1171       0.402855     25967.     7.67305E-01     7.31665E-07     9.43220E-01
   1170       0.402878     25964.     7.67335E-01     7.32121E-07     9.43273E-01
   1169       0.402901     25960.     7.67364E-01     7.32576E-07     9.43327E-01
   1168       0.402924     25957.     7.67392E-01     7.33031E-07     9.43381E-01
   1167       0.402947     25954.     7.67419E-01     7.33485E-07     9.43435E-01
   1166       0.402970     25951.     7.67446E-01     7.33940E-07     9.43489E-01
   1165       0.402993     25948.     7.67472E-01     7.34394E-07     9.43543E-01
   1164       0.403016     25945.     7.67497E-01     7.34847E-07     9.43597E-01
   1163       0.403039     25942.     7.67521E-01     7.35301E-07     9.43651E-01
   1162       0.403062     25939.     7.67545E-01     7.35754E-07     9.43705E-01
   1161       0.403085     25936.     7.67568E-01     7.36206E-07     9.43759E-01
   1160       0.403108     25933.     7.67590E-01     7.36658E-07     9.43813E-01
   1159       0.403131     25930.     7.67612E-01     7.37110E-07     9.43867E-01
   1158       0.403154     25927.     7.67633E-01     7.37562E-07     9.43920E-01
   1157       0.403177     25924.     7.67653E-01     7.38013E-07     9.43974E-01
   1156       0.403200     25921.     7.67672E-01     7.38464E-07     9.44028E-01
   1155       0.403223     25917.     7.67690E-01     7.38915E-07     9.44082E-01
   1154       0.403246     25914.     7.67708E-01     7.39365E-07     9.44136E-01
   1153       0.403269     25911.     7.67725E-01     7.39815E-07     9.44190E-01
   1152       0.403292     25908.     7.67742E-01     7.40264E-07     9.44244E-01
   1151       0.403316     25905.     7.67757E-01     7.40714E-07     9.44298E-01
   1150       0.403339     25902.     7.67772E-01     7.41162E-07     9.44352E-01
   1149       0.403362     25899.     7.67787E-01     7.41611E-07     9.44406E-01
   1148       0.403385     25896.     7.67800E-01     7.42059E-07     9.44460E-01
   1147       0.403408     25893.     7.67813E-01     7.42507E-07     9.44514E-01
   1146       0.403431     25890.     7.67825E-01     7.42955E-07     9.44568E-01
   1145       0.403454     25887.     7.67836E-01     7.43402E-07     9.44622E-01
   1144       0.403477     25884.     7.67847E-01     7.43849E-07     9.44676E-01
   1143       0.403500     25881.     7.67856E-01     7.44295E-07     9.44730E-01
   1142       0.403523     25878.     7.67866E-01     7.44742E-07     9.44784E-01
   1141       0.403546     25875.     7.67874E-01     7.45188E-07     9.44838E-01
   1140       0.403569     25872.     7.67882E-01     7.45633E-07     9.44892E-01
   1139       0.403592     25869.     7.67888E-01     7.46078E-07     9.44946E-01
   1138       0.403615     25866.     7.67895E-01     7.46523E-07     9.45000E-01
   1137       0.403638     25863.     7.67900E-01     7.46968E-07     9.45054E-01
   1136       0.403661     25860.     7.67905E-01     7.47412E-07     9.45108E-01
   1135       0.403684     25857.     7.67909E-01     7.47856E-07     9.45162E-01
   1134       0.403708     25854.     7.67912E-01     7.48300E-07     9.45216E-01
   1133       0.403731     25851.     7.67915E-01     7.48743E-07     9.45270E-01
   1132       0.403754     25848.     7.67917E-01     7.49186E-07     9.45324E-01
   1131       0.403777     25845.     7.67918E-01     7.49629E-07     9.45378E-01
   1130       0.403800     25843.     7.67918E-01     7.50071E-07     9.45432E-01
   1129       0.403823     25840.     7.67918E-01     7.50513E-07     9.45486E-01
   1128       0.403846     25837.     7.67917E-01     7.50955E-07     9.45540E-01
   1127       0.403869     25834.     7.67915E-01     7.51396E-07     9.45594E-01
   1126       0.403892     25831.     7.67912E-01     7.51838E-07     9.45648E-01
   1125       0.403915     25828.     7.67909E-01     7.52278E-07     9.45702E-01
   1124       0.403938     25825.     7.67905E-01     7.52719E-07     9.45756E-01
   1123       0.403961     25822.     7.67901E-01     7.53159E-07     9.45810E-01
   1122       0.403984     25819.     7.67895E-01     7.53599E-07     9.45864E-01
   1121       0.404008     25816.     7.67889E-01     7.54038E-07     9.45918E-01
   1120       0.404031     25813.     7.67882E-01     7.54477E-07     9.45972E-01
   1119       0.404054     25810.     7.67875E-01     7.54916E-07     9.46026E-01
   1118       0.404077     25807.     7.67866E-01     7.55355E-07     9.46080E-01
   1117       0.404100     25804.     7.67857E-01     7.55793E-07     9.46135E-01
   1116       0.404123     25802.     7.67848E-01     7.56231E-07     9.46189E-01
   1115       0.404146     25799.     7.67837E-01     7.56668E-07     9.46243E-01
   1114       0.404169     25796.     7.67826E-01     7.57106E-07     9.46297E-01
   1113       0.404192     25793.     7.67814E-01     7.57543E-07     9.46351E-01
   1112       0.404215     25790.     7.67801E-01     7.57979E-07     9.46405E-01
   1111       0.404238     25787.     7.67788E-01     7.58416E-07     9.46459E-01
   1110       0.404262     25784.     7.67774E-01     7.58852E-07     9.46513E-01
   1109       0.404285     25781.     7.67759E-01     7.59287E-07     9.46567E-01
   1108       0.404308     25778.     7.67744E-01     7.59723E-07     9.46621E-01
   1107       0.404331     25775.     7.67727E-01     7.60158E-07     9.46675E-01
   1106       0.404354     25773.     7.67711E-01     7.60592E-07     9.46729E-01
   1105       0.404377     25770.     7.67693E-01     7.61027E-07     9.46784E-01
   1104       0.404400     25767.     7.67674E-01     7.61461E-07     9.46838E-01
   1103       0.404423     25764.     7.67655E-01     7.61895E-07     9.46892E-01
   1102       0.404446     25761.     7.67635E-01     7.62328E-07     9.46946E-01
   1101       0.404470     25758.     7.67615E-01     7.62762E-07     9.47000E-01
   1100       0.404493     25755.     7.67594E-01     7.63195E-07     9.47054E-01
   1099       0.404516     25753.     7.67572E-01     7.63627E-07     9.47108E-01
   1098       0.404539     25750.     7.67549E-01     7.64059E-07     9.47162E-01
   1097       0.404562     25747.     7.67525E-01     7.64491E-07     9.47216E-01
   1096       0.404585     25744.     7.67501E-01     7.64923E-07     9.47271E-01
   1095       0.404608     25741.     7.67476E-01     7.65355E-07     9.47325E-01
   1094       0.404631     25738.     7.67451E-01     7.65786E-07     9.47379E-01
   1093       0.404654     25736.     7.67424E-01     7.66216E-07     9.47433E-01
   1092       0.404678     25733.     7.67397E-01     7.66647E-07     9.47487E-01
   1091       0.404701     25730.     7.67370E-01     7.67077E-07     9.47541E-01
   1090       0.404724     25727.     7.67341E-01     7.67507E-07     9.47595E-01
   1089       0.404747     25724.     7.67312E-01     7.67936E-07     9.47650E-01
   1088       0.404770     25721.     7.67282E-01     7.68366E-07     9.47704E-01
   1087       0.404793     25719.     7.67251E-01     7.68795E-07     9.47758E-01
   1086       0.404816     25716.     7.67220E-01     7.69223E-07     9.47812E-01
   1085       0.404839     25713.     7.67188E-01     7.69652E-07     9.47866E-01
   1084       0.404863     25710.     7.67155E-01     7.70080E-07     9.47920E-01
   1083       0.404886     25707.     7.67122E-01     7.70507E-07     9.47975E-01
   1082       0.404909     25705.     7.67087E-01     7.70935E-07     9.48029E-01
   1081       0.404932     25702.     7.67052E-01     7.71362E-07     9.48083E-01
   1080       0.404955     25699.     7.67017E-01     7.71789E-07     9.48137E-01
   1079       0.404978     25696.     7.66980E-01     7.72215E-07     9.48191E-01
   1078       0.405001     25693.     7.66943E-01     7.72642E-07     9.48245E-01
   1077       0.405025     25691.     7.66905E-01     7.73067E-07     9.48300E-01
   1076       0.405048     25688.     7.66867E-01     7.73493E-07     9.48354E-01
   1075       0.405071     25685.     7.66827E-01     7.73918E-07     9.48408E-01
   1074       0.405094     25682.     7.66787E-01     7.74343E-07     9.48462E-01
   1073       0.405117     25679.     7.66747E-01     7.74768E-07     9.48516E-01
   1072       0.405140     25677.     7.66705E-01     7.75193E-07     9.48571E-01
   1071       0.405163     25674.     7.66663E-01     7.75617E-07     9.48625E-01
