1.00
1.40
0.10
  1305
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/uma.cm-3      p/dyn.cm-2   R/Rc

   1305       0.000000         0.     1.57198E+04     0.00000E+00     0.00000E+00
   1304       0.079122      7736.     1.57198E+04     0.00000E+00     1.83035E-01
   1303       0.404134     39521.     1.73325E-01     0.00000E+00     9.34895E-01
   1302       0.404134     26816.     6.92973E-01     6.19591E-07     9.34895E-01
   1301       0.404184     26815.     6.92986E-01     6.19640E-07     9.35010E-01
   1300       0.404207     26812.     6.93125E-01     6.20129E-07     9.35064E-01
   1299       0.404230     26808.     6.93262E-01     6.20618E-07     9.35117E-01
   1298       0.404253     26804.     6.93398E-01     6.21107E-07     9.35171E-01
   1297       0.404276     26800.     6.93534E-01     6.21595E-07     9.35224E-01
   1296       0.404299     26796.     6.93669E-01     6.22083E-07     9.35278E-01
   1295       0.404322     26792.     6.93803E-01     6.22570E-07     9.35331E-01
   1294       0.404345     26788.     6.93937E-01     6.23057E-07     9.35384E-01
   1293       0.404368     26784.     6.94069E-01     6.23543E-07     9.35438E-01
   1292       0.404392     26781.     6.94201E-01     6.24029E-07     9.35491E-01
   1291       0.404415     26777.     6.94332E-01     6.24514E-07     9.35545E-01
   1290       0.404438     26773.     6.94462E-01     6.24999E-07     9.35598E-01
   1289       0.404461     26769.     6.94591E-01     6.25483E-07     9.35652E-01
   1288       0.404484     26765.     6.94720E-01     6.25967E-07     9.35705E-01
   1287       0.404507     26761.     6.94848E-01     6.26451E-07     9.35759E-01
   1286       0.404530     26758.     6.94975E-01     6.26934E-07     9.35812E-01
   1285       0.404553     26754.     6.95101E-01     6.27416E-07     9.35866E-01
   1284       0.404577     26750.     6.95227E-01     6.27898E-07     9.35919E-01
   1283       0.404600     26746.     6.95351E-01     6.28380E-07     9.35973E-01
   1282       0.404623     26742.     6.95475E-01     6.28861E-07     9.36026E-01
   1281       0.404646     26739.     6.95598E-01     6.29342E-07     9.36080E-01
