1.00
1.40
0.10
  1306
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/uma.cm-3      p/dyn.cm-2   R/Rc

   1306       0.000000         0.     1.57198E+04     0.00000E+00     0.00000E+00
   1305       0.079122      7736.     1.57198E+04     0.00000E+00     1.82819E-01
   1304       0.404610     39567.     1.71904E-01     0.00000E+00     9.34890E-01
   1303       0.404610     26848.     6.87274E-01     6.15762E-07     9.34890E-01
   1302       0.404661     26847.     6.87287E-01     6.15811E-07     9.35009E-01
   1301       0.404684     26843.     6.87424E-01     6.16297E-07     9.35062E-01
   1300       0.404707     26839.     6.87560E-01     6.16783E-07     9.35116E-01
   1299       0.404730     26835.     6.87696E-01     6.17269E-07     9.35169E-01
   1298       0.404753     26832.     6.87830E-01     6.17754E-07     9.35222E-01
   1297       0.404776     26828.     6.87964E-01     6.18238E-07     9.35276E-01
   1296       0.404800     26824.     6.88097E-01     6.18722E-07     9.35329E-01
   1295       0.404823     26820.     6.88229E-01     6.19206E-07     9.35383E-01
   1294       0.404846     26816.     6.88361E-01     6.19689E-07     9.35436E-01
   1293       0.404869     26812.     6.88491E-01     6.20172E-07     9.35490E-01
   1292       0.404892     26808.     6.88621E-01     6.20654E-07     9.35543E-01
   1291       0.404915     26804.     6.88750E-01     6.21136E-07     9.35597E-01
   1290       0.404938     26801.     6.88879E-01     6.21617E-07     9.35650E-01
   1289       0.404962     26797.     6.89006E-01     6.22098E-07     9.35703E-01
   1288       0.404985     26793.     6.89133E-01     6.22578E-07     9.35757E-01
   1287       0.405008     26789.     6.89259E-01     6.23058E-07     9.35810E-01
   1286       0.405031     26785.     6.89384E-01     6.23538E-07     9.35864E-01
   1285       0.405054     26782.     6.89508E-01     6.24017E-07     9.35917E-01
   1284       0.405077     26778.     6.89632E-01     6.24495E-07     9.35971E-01
   1283       0.405100     26774.     6.89755E-01     6.24974E-07     9.36024E-01
   1282       0.405124     26770.     6.89877E-01     6.25451E-07     9.36078E-01
   1281       0.405147     26766.     6.89998E-01     6.25928E-07     9.36131E-01
   1280       0.405170     26763.     6.90119E-01     6.26405E-07     9.36185E-01
   1279       0.405193     26759.     6.90239E-01     6.26882E-07     9.36238E-01
   1278       0.405216     26755.     6.90358E-01     6.27357E-07     9.36292E-01
   1277       0.405239     26751.     6.90476E-01     6.27833E-07     9.36345E-01
   1276       0.405262     26747.     6.90594E-01     6.28308E-07     9.36399E-01
   1275       0.405286     26744.     6.90710E-01     6.28782E-07     9.36452E-01
   1274       0.405309     26740.     6.90826E-01     6.29257E-07     9.36506E-01
   1273       0.405332     26736.     6.90942E-01     6.29730E-07     9.36559E-01
   1272       0.405355     26733.     6.91056E-01     6.30204E-07     9.36613E-01
   1271       0.405378     26729.     6.91170E-01     6.30676E-07     9.36666E-01
   1270       0.405401     26725.     6.91283E-01     6.31149E-07     9.36720E-01
   1269       0.405425     26721.     6.91395E-01     6.31621E-07     9.36773E-01
   1268       0.405448     26718.     6.91506E-01     6.32092E-07     9.36827E-01
   1267       0.405471     26714.     6.91617E-01     6.32563E-07     9.36881E-01
   1266       0.405494     26710.     6.91727E-01     6.33034E-07     9.36934E-01
   1265       0.405517     26707.     6.91836E-01     6.33504E-07     9.36988E-01
   1264       0.405540     26703.     6.91945E-01     6.33974E-07     9.37041E-01
   1263       0.405564     26699.     6.92053E-01     6.34443E-07     9.37095E-01
   1262       0.405587     26696.     6.92160E-01     6.34912E-07     9.37148E-01
   1261       0.405610     26692.     6.92266E-01     6.35381E-07     9.37202E-01
   1260       0.405633     26688.     6.92371E-01     6.35849E-07     9.37255E-01
   1259       0.405656     26685.     6.92476E-01     6.36317E-07     9.37309E-01
   1258       0.405680     26681.     6.92580E-01     6.36784E-07     9.37362E-01
   1257       0.405703     26677.     6.92684E-01     6.37251E-07     9.37416E-01
   1256       0.405726     26674.     6.92786E-01     6.37717E-07     9.37470E-01
   1255       0.405749     26670.     6.92888E-01     6.38183E-07     9.37523E-01
   1254       0.405772     26666.     6.92989E-01     6.38649E-07     9.37577E-01
   1253       0.405795     26663.     6.93089E-01     6.39114E-07     9.37630E-01
   1252       0.405819     26659.     6.93189E-01     6.39579E-07     9.37684E-01
   1251       0.405842     26655.     6.93288E-01     6.40043E-07     9.37738E-01
   1250       0.405865     26652.     6.93386E-01     6.40507E-07     9.37791E-01
   1249       0.405888     26648.     6.93483E-01     6.40971E-07     9.37845E-01
   1248       0.405911     26645.     6.93580E-01     6.41434E-07     9.37898E-01
   1247       0.405935     26641.     6.93676E-01     6.41897E-07     9.37952E-01
   1246       0.405958     26637.     6.93771E-01     6.42359E-07     9.38005E-01
   1245       0.405981     26634.     6.93866E-01     6.42821E-07     9.38059E-01
   1244       0.406004     26630.     6.93959E-01     6.43282E-07     9.38113E-01
   1243       0.406027     26627.     6.94052E-01     6.43743E-07     9.38166E-01
   1242       0.406051     26623.     6.94145E-01     6.44204E-07     9.38220E-01
   1241       0.406074     26620.     6.94236E-01     6.44665E-07     9.38274E-01
   1240       0.406097     26616.     6.94327E-01     6.45124E-07     9.38327E-01
   1239       0.406120     26613.     6.94417E-01     6.45584E-07     9.38381E-01
   1238       0.406143     26609.     6.94507E-01     6.46043E-07     9.38434E-01
   1237       0.406167     26605.     6.94595E-01     6.46502E-07     9.38488E-01
   1236       0.406190     26602.     6.94683E-01     6.46960E-07     9.38542E-01
   1235       0.406213     26598.     6.94771E-01     6.47418E-07     9.38595E-01
   1234       0.406236     26595.     6.94857E-01     6.47876E-07     9.38649E-01
   1233       0.406259     26591.     6.94943E-01     6.48333E-07     9.38703E-01
   1232       0.406283     26588.     6.95028E-01     6.48790E-07     9.38756E-01
   1231       0.406306     26584.     6.95112E-01     6.49246E-07     9.38810E-01
   1230       0.406329     26581.     6.95196E-01     6.49702E-07     9.38863E-01
   1229       0.406352     26577.     6.95279E-01     6.50158E-07     9.38917E-01
   1228       0.406376     26574.     6.95361E-01     6.50613E-07     9.38971E-01
   1227       0.406399     26570.     6.95443E-01     6.51068E-07     9.39024E-01
   1226       0.406422     26567.     6.95524E-01     6.51522E-07     9.39078E-01
   1225       0.406445     26563.     6.95604E-01     6.51976E-07     9.39132E-01
   1224       0.406468     26560.     6.95683E-01     6.52430E-07     9.39185E-01
   1223       0.406492     26556.     6.95762E-01     6.52883E-07     9.39239E-01
   1222       0.406515     26553.     6.95840E-01     6.53336E-07     9.39293E-01
   1221       0.406538     26549.     6.95917E-01     6.53789E-07     9.39346E-01
   1220       0.406561     26546.     6.95994E-01     6.54241E-07     9.39400E-01
   1219       0.406585     26543.     6.96069E-01     6.54693E-07     9.39454E-01
   1218       0.406608     26539.     6.96145E-01     6.55144E-07     9.39507E-01
   1217       0.406631     26536.     6.96219E-01     6.55595E-07     9.39561E-01
   1216       0.406654     26532.     6.96293E-01     6.56046E-07     9.39615E-01
   1215       0.406678     26529.     6.96366E-01     6.56496E-07     9.39669E-01
   1214       0.406701     26525.     6.96438E-01     6.56946E-07     9.39722E-01
   1213       0.406724     26522.     6.96510E-01     6.57396E-07     9.39776E-01
   1212       0.406747     26519.     6.96581E-01     6.57845E-07     9.39830E-01
   1211       0.406771     26515.     6.96651E-01     6.58294E-07     9.39883E-01
   1210       0.406794     26512.     6.96720E-01     6.58742E-07     9.39937E-01
   1209       0.406817     26508.     6.96789E-01     6.59190E-07     9.39991E-01
   1208       0.406840     26505.     6.96857E-01     6.59638E-07     9.40044E-01
   1207       0.406864     26502.     6.96925E-01     6.60085E-07     9.40098E-01
   1206       0.406887     26498.     6.96991E-01     6.60532E-07     9.40152E-01
   1205       0.406910     26495.     6.97057E-01     6.60979E-07     9.40206E-01
   1204       0.406933     26491.     6.97123E-01     6.61425E-07     9.40259E-01
   1203       0.406957     26488.     6.97187E-01     6.61871E-07     9.40313E-01
   1202       0.406980     26485.     6.97251E-01     6.62317E-07     9.40367E-01
   1201       0.407003     26481.     6.97314E-01     6.62762E-07     9.40421E-01
   1200       0.407026     26478.     6.97377E-01     6.63207E-07     9.40474E-01
   1199       0.407050     26475.     6.97439E-01     6.63651E-07     9.40528E-01
   1198       0.407073     26471.     6.97500E-01     6.64095E-07     9.40582E-01
   1197       0.407096     26468.     6.97560E-01     6.64539E-07     9.40636E-01
   1196       0.407119     26464.     6.97620E-01     6.64982E-07     9.40689E-01
   1195       0.407143     26461.     6.97679E-01     6.65425E-07     9.40743E-01
   1194       0.407166     26458.     6.97738E-01     6.65868E-07     9.40797E-01
   1193       0.407189     26454.     6.97795E-01     6.66310E-07     9.40851E-01
   1192       0.407212     26451.     6.97852E-01     6.66752E-07     9.40904E-01
   1191       0.407236     26448.     6.97909E-01     6.67194E-07     9.40958E-01
   1190       0.407259     26445.     6.97964E-01     6.67635E-07     9.41012E-01
   1189       0.407282     26441.     6.98019E-01     6.68076E-07     9.41066E-01
   1188       0.407305     26438.     6.98073E-01     6.68517E-07     9.41119E-01
   1187       0.407329     26435.     6.98127E-01     6.68957E-07     9.41173E-01
   1186       0.407352     26431.     6.98180E-01     6.69397E-07     9.41227E-01
   1185       0.407375     26428.     6.98232E-01     6.69836E-07     9.41281E-01
   1184       0.407399     26425.     6.98283E-01     6.70275E-07     9.41335E-01
   1183       0.407422     26421.     6.98334E-01     6.70714E-07     9.41388E-01
   1182       0.407445     26418.     6.98384E-01     6.71153E-07     9.41442E-01
   1181       0.407468     26415.     6.98434E-01     6.71591E-07     9.41496E-01
   1180       0.407492     26412.     6.98483E-01     6.72028E-07     9.41550E-01
   1179       0.407515     26408.     6.98531E-01     6.72466E-07     9.41604E-01
   1178       0.407538     26405.     6.98578E-01     6.72903E-07     9.41657E-01
   1177       0.407562     26402.     6.98625E-01     6.73340E-07     9.41711E-01
   1176       0.407585     26399.     6.98671E-01     6.73776E-07     9.41765E-01
