1.00
1.40
0.10
  1251
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/uma.cm-3      p/dyn.cm-2   R/Rc

   1251       0.000000         0.     1.57198E+04     0.00000E+00     0.00000E+00
   1250       0.079122      7736.     1.57198E+04     0.00000E+00     1.77737E-01
   1249       0.416174     40699.     1.41126E-01     0.00000E+00     9.34881E-01
   1248       0.416174     27615.     5.64182E-01     5.33970E-07     9.34881E-01
   1247       0.416232     27615.     5.64193E-01     5.34012E-07     9.35010E-01
   1246       0.416256     27611.     5.64306E-01     5.34434E-07     9.35064E-01
   1245       0.416280     27607.     5.64417E-01     5.34855E-07     9.35117E-01
   1244       0.416303     27603.     5.64528E-01     5.35277E-07     9.35171E-01
   1243       0.416327     27599.     5.64639E-01     5.35697E-07     9.35224E-01
   1242       0.416351     27595.     5.64749E-01     5.36118E-07     9.35278E-01
   1241       0.416375     27591.     5.64858E-01     5.36537E-07     9.35331E-01
   1240       0.416399     27587.     5.64967E-01     5.36957E-07     9.35385E-01
   1239       0.416422     27583.     5.65074E-01     5.37376E-07     9.35438E-01
   1238       0.416446     27579.     5.65182E-01     5.37795E-07     9.35491E-01
   1237       0.416470     27575.     5.65288E-01     5.38213E-07     9.35545E-01
   1236       0.416494     27571.     5.65394E-01     5.38631E-07     9.35598E-01
   1235       0.416518     27567.     5.65500E-01     5.39048E-07     9.35652E-01
   1234       0.416541     27563.     5.65604E-01     5.39465E-07     9.35705E-01
   1233       0.416565     27559.     5.65709E-01     5.39882E-07     9.35759E-01
   1232       0.416589     27555.     5.65812E-01     5.40298E-07     9.35812E-01
   1231       0.416613     27551.     5.65915E-01     5.40714E-07     9.35866E-01
   1230       0.416637     27547.     5.66017E-01     5.41129E-07     9.35919E-01
   1229       0.416660     27543.     5.66119E-01     5.41545E-07     9.35973E-01
   1228       0.416684     27540.     5.66219E-01     5.41959E-07     9.36026E-01
   1227       0.416708     27536.     5.66320E-01     5.42374E-07     9.36080E-01
   1226       0.416732     27532.     5.66419E-01     5.42787E-07     9.36133E-01
   1225       0.416756     27528.     5.66518E-01     5.43201E-07     9.36187E-01
   1224       0.416779     27524.     5.66617E-01     5.43614E-07     9.36240E-01
   1223       0.416803     27520.     5.66715E-01     5.44027E-07     9.36294E-01
